"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"463","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"464","Mature Adult","Many Marriages","High","Low Poverty","Low"
"465","Mature Adult","Many Marriages","High","Low Poverty","Low"
"466","Mature Adult","Few Marriages","High","High Poverty","Low"
"467","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"468","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"469","Mature Adult","Few Marriages","High","High Poverty","Medium"
"470","Mature Adult","Few Marriages","High","Low Poverty","Low"
"471","Mature Adult","Few Marriages","High","High Poverty","Medium"
"472","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"473","Mature Adult","Median Marriages","High","Low Poverty","Low"
"474","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"475","Mature Adult","Few Marriages","High","High Poverty","Low"
"476","Mature Adult","Median Marriages","High","High Poverty","Medium"
"477","Mature Adult","Median Marriages","High","Low Poverty","Low"
"478","Adult","Median Marriages","High","Low Poverty","Low"
"479","Older Adult","Few Marriages","High","Low Poverty","Medium"
"480","Adult","Few Marriages","High","Low Poverty","Medium"
"481","Adult","Many Marriages","High","Low Poverty","Low"
"482","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"483","Mature Adult","Low Marriages","High","Low Poverty","Low"
"484","Older Adult","Few Marriages","High","High Poverty","Medium"
"485","Mature Adult","Few Marriages","High","High Poverty","Medium"
"486","Mature Adult","Median Marriages","Medium","High Poverty","Medium"
"487","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"488","Mature Adult","Low Marriages","High","High Poverty","Medium"
"489","Mature Adult","Few Marriages","High","High Poverty","Medium"
"490","Mature Adult","Low Marriages","High","High Poverty","Medium"
"491","Mature Adult","Median Marriages","High","Low Poverty","Low"
"492","Mature Adult","Few Marriages","High","Low Poverty","Low"
"493","Mature Adult","Low Marriages","High","Low Poverty","Low"
"494","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"495","Adult","Many Marriages","High","Low Poverty","Medium"
"496","Mature Adult","Many Marriages","High","Low Poverty","Low"
"497","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"498","Mature Adult","Few Marriages","High","Low Poverty","Low"
"499","Mature Adult","Many Marriages","High","Low Poverty","Low"
"500","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"501","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"502","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"503","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"504","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"505","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"506","Older Adult","Low Marriages","High","Low Poverty","Medium"
"507","Senior","No Marriages","High","Low Poverty","High"
"508","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"509","Mature Adult","No Marriages","High","High Poverty","Medium"
"510","Adult","Many Marriages","High","Low Poverty","Medium"
"511","Mature Adult","Many Marriages","High","Low Poverty","Low"
"512","Mature Adult","No Marriages","High","Low Poverty","Medium"
"513","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"514","Older Adult","Few Marriages","High","High Poverty","Medium"
"515","Mature Adult","Many Marriages","High","Low Poverty","Low"
"516","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"517","Mature Adult","No Marriages","High","Low Poverty","Medium"
"518","Mature Adult","Median Marriages","High","High Poverty","Low"
"519","Older Adult","No Marriages","High","Low Poverty","Medium"
"520","Older Adult","No Marriages","High","Low Poverty","Medium"
"521","Mature Adult","Low Marriages","High","Low Poverty","Low"
"522","Mature Adult","Few Marriages","High","High Poverty","Medium"
"523","Mature Adult","Few Marriages","High","High Poverty","Medium"
"524","Mature Adult","Few Marriages","High","High Poverty","Low"
"525","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"526","Mature Adult","Median Marriages","High","Low Poverty","Low"
"527","Mature Adult","Median Marriages","High","High Poverty","Medium"
"528","Senior","Few Marriages","Low","Low Poverty","Medium"
"529","Mature Adult","No Marriages","High","High Poverty","Medium"
"530","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"531","Mature Adult","Few Marriages","High","High Poverty","Medium"
"532","Older Adult","Few Marriages","High","Low Poverty","Medium"
"533","Senior","Median Marriages","Low","Low Poverty","Medium"
"534","Mature Adult","Median Marriages","High","High Poverty","Medium"
"535","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"536","Mature Adult","Many Marriages","High","Low Poverty","Low"
"537","Mature Adult","Median Marriages","High","High Poverty","Low"
"538","Older Adult","No Marriages","High","High Poverty","Medium"
"539","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"540","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"541","Mature Adult","No Marriages","High","High Poverty","Low"
"542","Adult","Few Marriages","High","High Poverty","Low"
"543","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"544","Mature Adult","Many Marriages","High","Low Poverty","Low"
"545","Mature Adult","Few Marriages","High","Low Poverty","Low"
"546","Older Adult","Few Marriages","High","Low Poverty","Medium"
"547","Mature Adult","Few Marriages","High","High Poverty","Medium"
"548","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"549","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"550","Mature Adult","High Marriages","High","Low Poverty","Low"
"551","Mature Adult","No Marriages","High","Low Poverty","Medium"
"552","Mature Adult","Many Marriages","High","Low Poverty","Low"
"553","Mature Adult","Many Marriages","High","Low Poverty","Low"
"554","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"555","Older Adult","No Marriages","Low","Low Poverty","Medium"
"556","Adult","Many Marriages","Medium","Low Poverty","Low"
"557","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"558","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"559","Adult","Median Marriages","High","Low Poverty","Medium"
"560","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"561","Older Adult","Few Marriages","Medium","Low Poverty","Low"
"562","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"563","Adult","Many Marriages","Medium","Low Poverty","Low"
"564","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"565","Mature Adult","No Marriages","Low","High Poverty","Medium"
"566","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"567","Adult","Many Marriages","High","Low Poverty","Low"
"568","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"569","Adult","Low Marriages","High","Low Poverty","Low"
"570","Mature Adult","No Marriages","High","Low Poverty","Low"
"571","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"572","Senior","No Marriages","Medium","Low Poverty","High"
"573","Adult","Median Marriages","High","Low Poverty","Low"
"574","Adult","Few Marriages","Low","Low Poverty","Low"
"575","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"576","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"577","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"578","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"579","Adult","Median Marriages","Medium","Low Poverty","Low"
"580","Adult","Low Marriages","High","Low Poverty","Low"
"581","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"582","Adult","Median Marriages","Medium","Low Poverty","Low"
"583","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"584","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"585","Mature Adult","No Marriages","High","Low Poverty","Low"
"586","Young","Many Marriages","Medium","High Poverty","Low"
"587","Adult","Low Marriages","High","Low Poverty","Low"
"588","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"589","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"590","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"591","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"592","Mature Adult","Few Marriages","High","Low Poverty","Low"
"593","Older Adult","Few Marriages","Low","Low Poverty","High"
"594","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"595","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"596","Older Adult","Few Marriages","Low","Low Poverty","Low"
"597","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"598","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"599","Mature Adult","No Marriages","High","High Poverty","Medium"
"600","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"601","Mature Adult","Median Marriages","High","Low Poverty","Low"
"602","Mature Adult","No Marriages","High","Low Poverty","Low"
"603","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"604","Older Adult","No Marriages","Low","Low Poverty","Medium"
"605","Older Adult","Few Marriages","Low","Low Poverty","Low"
"606","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"607","Adult","Many Marriages","High","Low Poverty","Low"
"608","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"609","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"610","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"611","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"612","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"613","Mature Adult","High Marriages","High","Low Poverty","Low"
"614","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"615","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"616","Adult","Many Marriages","High","Low Poverty","Low"
"617","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"618","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"619","Mature Adult","High Marriages","High","Low Poverty","Low"
"620","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"621","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"622","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"623","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"624","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"625","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"626","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"627","Older Adult","No Marriages","Low","Low Poverty","Medium"
"628","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"629","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"630","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"631","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"632","Older Adult","No Marriages","Low","Low Poverty","High"
"633","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"634","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"635","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"636","Adult","Median Marriages","High","High Poverty","Medium"
"637","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"638","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"639","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"640","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"641","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"642","Mature Adult","High Marriages","High","Low Poverty","Low"
"643","Mature Adult","Many Marriages","High","Low Poverty","Low"
"644","Mature Adult","Many Marriages","High","Low Poverty","Low"
"645","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"646","Mature Adult","High Marriages","High","Low Poverty","Low"
"647","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"648","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"649","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"650","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"651","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"652","Adult","Median Marriages","Medium","Low Poverty","Low"
"653","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"654","Adult","Many Marriages","Medium","Low Poverty","Low"
"655","Mature Adult","Many Marriages","High","Low Poverty","Low"
"656","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"657","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"658","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"659","Older Adult","Few Marriages","Low","Low Poverty","Low"
"660","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"661","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"662","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"663","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"664","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"665","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"666","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"667","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"668","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"669","Mature Adult","Many Marriages","High","Low Poverty","Low"
"670","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"671","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"672","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"673","Older Adult","No Marriages","Low","Low Poverty","Medium"
